Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_DO-35,59.21375,-84.7725,90,bottom
D2,D,Diode_DO-35,78.26375,-84.7725,90,bottom
D3,D,Diode_DO-35,97.31375,-84.7725,90,bottom
D4,D,Diode_DO-35,59.21375,-103.8225,90,bottom
D5,D,Diode_DO-35,78.26375,-103.8225,90,bottom
D6,D,Diode_DO-35,97.31375,-103.8225,90,bottom
D7,D,Diode_DO-35,116.36375,-103.8225,90,bottom
D8,D,Diode_DO-35,59.21375,-122.8725,90,bottom
D9,D,Diode_DO-35,78.26375,-122.8725,90,bottom
D10,D,Diode_DO-35,97.31375,-122.8725,90,bottom
D11,D,Diode_DO-35,116.36375,-122.8725,90,bottom
D12,D,Diode_DO-35,59.21375,-141.9225,90,bottom
D13,D,Diode_DO-35,78.26375,-141.9225,90,bottom
D14,D,Diode_DO-35,97.31375,-141.9225,90,bottom
D15,D,Diode_DO-35,116.36375,-141.9225,90,bottom
D16,D,Diode_DO-35,59.21375,-160.9725,90,bottom
D17,D,Diode_DO-35,78.26375,-160.9725,90,bottom
D18,D,Diode_DO-35,97.31375,-160.9725,90,bottom
D19,D,Diode_DO-35,116.36375,-160.9725,90,bottom
D20,D,Diode_DO-35,78.26375,-180.0225,90,bottom
D21,D,Diode_DO-35,97.31375,-180.0225,90,bottom
C1,0u1F,C_0402_1005Metric,81.25,-47.9,90,top
C2,10uF,C_0805_2012Metric,77.25,-48,90,top
C3,0u1F,C_0402_1005Metric,110,-46.5,-90,top
C4,0u1F,C_0402_1005Metric,72.3,-55.61,90,top
C5,1uF,C_0805_2012Metric,60,-48.25,180,top
C6,1uF,C_0805_2012Metric,68.75,-48.25,-90,top
D22,LED,LED_0402_1005Metric,85.015,-62.8,0,top
FM1,Fiducial,Fiducial_1mm_Mask2mm,119.8,-42.2,0,top
FM2,Fiducial,Fiducial_1mm_Mask2mm,39,-52.5,0,top
FM3,Fiducial,Fiducial_1mm_Mask2mm,121.9,-181.6,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,55.5,-38,180,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,122.3,-62,180,top
J3,2x8 GPIO for SPI,PinSocket_2x08_P2.54mm_Vertical_SMD,46.6,-58,0,top
R1,10k,R_0402_1005Metric,110.2,-49.9,-90,top
R2,10k,R_0402_1005Metric,72.3,-53.5,-90,top
R3,5k1,R_0402_1005Metric,49.2,-38.2,90,top
R4,5k1,R_0402_1005Metric,61.8,-38.2,90,top
R5,10k,R_0402_1005Metric,106,-71.4375,0,top
R6,10k,R_0402_1005Metric,108.51,-71.4375,0,top
R7,220R,R_0402_1005Metric,82.265,-62.8,180,top
S1,Keyswitch,Hotswap_MX_1.00u,49.68875,-80.9625,0,top
S2,Keyswitch,Hotswap_MX_1.00u,68.76875,-80.9625,0,top
S3,Keyswitch,Hotswap_MX_1.00u,87.81875,-80.9625,0,top
S4,Keyswitch,Hotswap_MX_1.00u,49.68875,-100.0125,0,top
S5,Keyswitch,Hotswap_MX_1.00u,68.73875,-100.0125,0,top
S6,Keyswitch,Hotswap_MX_1.00u,87.78875,-100.0125,0,top
S7,Keyswitch,Hotswap_MX_1.00u,106.83875,-100.0125,0,top
S8,Keyswitch,Hotswap_MX_1.00u,49.68875,-119.0625,0,top
S9,Keyswitch,Hotswap_MX_1.00u,68.73875,-119.0625,0,top
S10,Keyswitch,Hotswap_MX_1.00u,87.78875,-119.0625,0,top
S11,Keyswitch,Hotswap_MX_1.00u,106.83875,-119.0625,0,top
S12,Keyswitch,Hotswap_MX_1.00u,49.68875,-138.1125,0,top
S13,Keyswitch,Hotswap_MX_1.00u,68.73875,-138.1125,0,top
S14,Keyswitch,Hotswap_MX_1.00u,87.78875,-138.1125,0,top
S15,Keyswitch,Hotswap_MX_1.00u,106.83875,-138.1125,0,top
S16,Keyswitch,Hotswap_MX_1.00u,49.68875,-157.1625,0,top
S17,Keyswitch,Hotswap_MX_1.00u,68.73875,-157.1625,0,top
S18,Keyswitch,Hotswap_MX_1.00u,87.78875,-157.1625,0,top
S19,Keyswitch,Hotswap_MX_2.00u_90deg,106.83875,-166.6875,0,top
S20,Keyswitch,Hotswap_MX_2.00u,59.21375,-176.2125,0,top
S21,Keyswitch,Hotswap_MX_1.00u,87.78875,-176.2125,0,top
SW1,RESET,SW_SPST_PTS647_Sx50,114.2,-48.7,90,top
SW2,BOOT,SW_SPST_PTS647_Sx50,67.7,-54.6,90,top
SW3,RotaryEncoder_Switch,XDCR_PEC11R-4215F-S0024,106.83875,-80.9625,180,top
U2,USBLC6-2SC6,SOT-23-6,55.5,-47.375,-90,top
U3,ESP32-S3-MINI-1,ESP32-S2-MINI-1,91.45,-50.1,0,top
U4,AP2112K-3.3,SOT-23-5,64.8375,-48.4,0,top
